company,estimated_revenue_eur_million,city,sectors_active,website
AMCOR FLEXIBLES SINGEN,530,Singen,Metals & Metal Products,http://www.amcor.com
AMGEN,672,Muenchen,Wholesale,http://www.amgen.de
AMPRION,14157,Dortmund,Utilities,http://www.amprion.net
ANDRITZ DEUTSCHLAND BETEILIGUNGS,690,Krefeld,Business Services,http://www.andritz.com
ANTALIS,298,Frechen,Wholesale,http://www.antalis.de
APERAM STAINLESS SERVICES & SOLUTIONS GERMANY,658,Haan,Wholesale,http://www.aperam.com/germany
APETITO,716,Rheine,Food & Tobacco Manufacturing,http://www.apetito.de
API COMPUTER HANDELS GESELLSCHAFT,936,Baesweiler,Wholesale,http://www.api.de
APLEONA GROUP,1898,Neu-Isenburg,Business Services,http://www.apleona.com
APPLE RETAIL GERMANY B.V.,641,Frankfurt,Retail,http://www.apple.com
APTIV SERVICES DEUTSCHLAND,1428,Wuppertal,Transport Manufacturing,http://www.aptiv.com
AR HOLDING,1685,Dusseldorf,"Banking, Insurance & Financial Services",http://www.arag.com
ARAMARK HOLDING DEUTSCHLAND,571,Neu-Isenburg,Business Services,http://www.aramark.de
ARCELORMITTAL BREMEN,3070,Bremen,Metals & Metal Products,http://www.arcelormittal.com/bremen
ARCELORMITTAL STAHLHANDEL,502,Koeln,Business Services,http://www.arcelormittal-distribution.com
ARCELORMITTAL EISENHUETTENSTADT,1483,Eisenhuettenstadt,Metals & Metal Products,http://www.arcelormittal-ehst.com
ARCELORMITTAL HAMBURG,537,Hamburg,Metals & Metal Products,http://www.arcelormittalhamburg.de
ARDAGH GLASS,986,Nienburg,"Leather, Stone, Clay & Glass products",http://www.ardaghgroup.com
AREVA,1966,Erlangen,Business Services,http://www.areva.com
ARLA FOODS DEUTSCHLAND,1751,Duesseldorf,Food & Tobacco Manufacturing,http://www.arlafoods.de
ARLANXEO DEUTSCHLAND,483,Dormagen,,http://www.arlanxeo.de
ARROW ECS,674,Muenchen,Wholesale,http://www.arrowecs.com
ARROW CENTRAL EUROPE,4349,Neu-Isenburg,Wholesale,http://www.arroweurope.com
ARS ALTMANN,401,Wolnzach,"Transport, Freight & Storage",http://www.ars-altmann.de
ARTEMED,392,Tutzing,"Banking, Insurance & Financial Services",http://www.artemed.de
AS24 TANKSERVICE,321,Berlin,Wholesale,http://www.as24.com
A. SCHULMAN,478,Kerpen,Wholesale,http://www.aschulman.com
A.S.CREATION TAPETEN,142,Gummersbach-Derschlag,"Wood, Furniture & Paper Manufacturing",http://www.as-creation.de
ASK CHEMICALS INTERNATIONAL HOLDING,620,Hilden,Business Services,http://www.ask-chemicals.com
BROERMANN HOLDING,3727,Koenigstein,Business Services,http://www.asklepios.com
ASTORA,310,Kassel,Utilities,http://www.astora.de
ASTRAZENECA,645,Wedel,"Chemicals, Petroleum, Rubber & Plastic",http://www.astrazeneca.de
AUGUST TOEPFER & CO. ( & CO.) KG,366,Hamburg,Wholesale,http://www.atco.de
ATLAS ELEKTRONIK,449,Bremen,"Industrial, Electric & Electronic Machinery",http://www.atlas.de
ATLAS COPCO DEUTSCHLAND,456,Essen,Business Services,http://www.atlascopco.com
ATON,2730,Muenchen,Business Services,http://www.aton.de
ATOTECH DEUTSCHLAND,423,Berlin,"Industrial, Electric & Electronic Machinery",http://www.atotech.com
ATR BETEILIGUNGSGESELLSCHAFT,743,Ratzeburg,Business Services,http://www.atr-landhandel.de
CHRISTOPHORUS HOLDING,1048,Weiden,Business Services,http://www.atu.de
AUDI,57652,Ingolstadt,Automotive,http://www.audi.de
AUTO-HOLDING DRESDEN,313,Dresden,Wholesale,http://www.audi-zentrum-dresden.de
ALLGAEUER UEBERLANDWERK BETEILIGUNGS- U. DIENSTLEISTUNGSGES. & CO.,304,Kempten,Business Services,http://www.auew.de
AUGUST PRIEN VERWALTUNG,321,Hamburg,Business Services,http://www.augprien.de
AUGUSTINUM GEMEINNUETZIGE,398,Muenchen,"Public Administration, Education, Health Social Services",http://www.augustinum.de
AUKTION & MARKT,1358,Wiesbaden,Business Services,http://www.auktion-markt.de
AUMA RIESTER,387,Muellheim,Metals & Metal Products,http://www.auma.com
AUMANN,262,Beelen,"Industrial, Electric & Electronic Machinery",http://www.aumann-ag.com
AURELIUS EQUITY OPPORTUNITIES,3334,Grunwald,Business Services,http://www.aureliusinvest.de
AURUBIS,10490,Hamburg,Mining & Extraction,http://www.aurubis.com
AURUBIS STOLBERG,307,Stolberg,Metals & Metal Products,http://www.aurubis-stolberg.com
AUTANIA FUER INDUSTRIEBETEILIGUNGEN,229,Kelkheim,Business Services,http://www.autania.de
AUTODOC,423,Berlin,Wholesale,http://www.autodoc.de
CARL JUERGENS & CO.KG,286,Hagen,Property Services,http://www.autohaus-juergens.de
AUTOHAUS WOLFSBURG HOTZ UND HEITMANN,451,Wolfsburg,Wholesale,http://www.autohaus-wolfsburg.de
DAT AUTOHUS,205,Gyhum,Wholesale,http://www.autohus.de
AUTO-KABEL VERWALTUNGSGESELLSCHAFT,357,Hausen,Business Services,http://www.autokabel.com
AUTOLIV B.V.,862,Elmshorn,Transport Manufacturing,http://www.autoliv.com
FONDIUM SINGEN,293,Singen,Wholesale,http://www.automotive.georgfischer.com
EGON NGER GROUP,445,Rheine,Property Services,http://www.auto-senger.de
AUTO WICHERT,362,Hamburg,Wholesale,http://www.auto-wichert.de
AVACON NETZ,3218,Helmstedt,Utilities,http://www.avacon-netz.de
AV HOLDING,2342,Augsburg,Business Services,http://www.avag.eu
AVANGARD MALZ,150,Gelsenkirchen,Food & Tobacco Manufacturing,http://www.avangard-malz.de
