company,estimated_revenue_eur_million,city,sectors_active,website
JOST WERKE,738,Neu-Isenburg,Transport Manufacturing,http://www.jost-world.com
JOWAT,332,Detmold,"Chemicals, Petroleum, Rubber & Plastic",http://www.jowat.de
JOYSON SAFETY SYSTEMS GERMANY,611,Aschaffenburg,"Industrial, Electric & Electronic Machinery",http://www.joysonsafety.com
JP MORGAN,276,Frankfurt Am Main,"Banking, Insurance & Financial Services",http://www.jpmorgan.com/country/de/en/jpmorgan
JT INTERNATIONAL GERMANY,822,Trier,Food & Tobacco Manufacturing,http://www.jti.com
JUNGHEINRICH,4077,Hamburg,"Transport, Freight & Storage",http://www.jungheinrich.de
JUWI,410,Woerrstadt,Business Services,http://www.juwi.de
JUNG VON MATT,150,Hamburg,Computer Software,http://www.jvm.com
VODAFONE BW,945,Koeln,"Transport, Freight & Storage",http://www.kabelbw.de
KABEL DEUTSCHLAND HOLDING,2483,Unterfoehring,Business Services,http://www.kabeldeutschland.de
KABEL PREMIUM PULP & PAPER,301,Hagen,"Wood, Furniture & Paper Manufacturing",http://www.kabelpaper.de
KAEFER ISOLIERTECHNIK,1760,Bremen,Business Services,http://www.kaefer.com
KKVB KAELTE-KLIMA VERWALTUNGS- UND BETEILIGUNGSGESELLSCHAFT,338,Offenbach,Business Services,http://www.kaelte-gruppe.eu
ALFRED KAERCHER,2581,Winnenden,"Industrial, Electric & Electronic Machinery",http://www.kaercher.com
KAER KOMPRESSOREN,999,Coburg,"Industrial, Electric & Electronic Machinery",http://www.kaeser.de
KAISER MINERALOEL UND TANKSTELLEN,425,Brilon,Wholesale,http://www.kaiser-mineraloele.de
KAISER S VERWALTUNGS,1642,Muelheim,Retail,http://www.kaisers.de
KAMAX HOLDING,819,Homberg,Business Services,http://www.kamax.com
HERBERT KANNEGIESSER,352,Vlotho,,http://www.kannegiesser.de
KAP,431,Fulda,Textiles & Clothing Manufacturing,http://www.kap.de
KARL MAYER HOLDING,576,Obertshausen,Business Services,http://www.karlmayer.com
KARLSBERG HOLDING,398,Homburg,Business Services,http://www.karlsberg.de
KARL STORZ,1826,Tuttlingen,"Industrial, Electric & Electronic Machinery",http://www.karlstorz.com
KAT,129,Bielefeld,Wholesale,http://www.katag.net
KATHARINA KASPER HOLDING,399,Dernbach,"Public Administration, Education, Health Social Services",http://www.katharina-kasper-gruppe.de
KATHREIN,280,Rosenheim,Business Services,http://www.kathrein.de
KATJES INTERNATIONAL,365,Emmerich,,http://www.katjes-international.de
KAUFLAND STIFTUNG,21881,Neckarsulm,Wholesale,http://www.kaufland.de
KAUTEX TEXTRON,964,Bonn,"Chemicals, Petroleum, Rubber & Plastic",http://www.kautex.de
KAVO DENTAL,303,Biberach,"Industrial, Electric & Electronic Machinery",http://www.kavo.de
A. KAYSER TEXTILE FILTERMEDIEN,432,Einbeck,Business Services,http://www.kayser-filtertech.com
KOENIG UND BAUER,1242,Wurzburg,"Industrial, Electric & Electronic Machinery",http://www.kba-print.de
KCA DEUTAG DRILLING,335,Bad Bentheim,Construction,http://www.kcadeutag.com
KIMBERLY-CLARK GERMANY HOLDING,314,Koblenz,Business Services,http://www.kcprofessional.com
K.D. FEDDERSEN HOLDING,773,Hamburg,Business Services,http://www.kdfeddersen.com
KEBT KOMMUNALE ENERGIE BETEILIGUNGSGELLSCHAFT THUERINGEN,1814,Erfurt,Business Services,http://www.kebt.de
RICHARD KEHR,545,Braunschweig,Wholesale,http://www.kehr.de
KELLER & KALMBACH HOLDING,332,Unterschleissheim,Business Services,http://www.keller-kalmbach.de
KEMMLER BAUSTOFFE,410,Tuebingen,Wholesale,http://www.kemmler.de
KEMNA BAU ANDREAE,558,Pinneberg,Construction,http://www.kemna.de
GEBR. KEMPER,355,Olpe,Metals & Metal Products,http://www.kemper-olpe.de
KEMPINSKI,207,Muenchen,"Travel, Personal & Leisure",http://www.kempinski.com
KENDRION HOLDING GERMANY,407,Markdorf,Business Services,http://www.kendrion.com
KENNAMETAL HOLDING,767,Fuerth,Business Services,http://www.kennametal.com
ARBONIA DEUTSCHLAND,638,Plattling,Business Services,http://www.kermi.de
HUGO KERN UND LIEBERS & CO.KG PLATINEN- UND FEDERNFABRIK,807,Schramberg,"Industrial, Electric & Electronic Machinery",http://www.kern-liebers.de
ORNUA DEUTSCHLAND,669,Neukirchen-Vluyn,Wholesale,http://www.kerrygold.de
KFW IPEX-BANK,528,Frankfurt Am Main,"Banking, Insurance & Financial Services",http://www.kfw-ipex-bank.de
KHD HUMBOLDT WED INTERNATIONAL,147,Koln,"Industrial, Electric & Electronic Machinery",http://www.khd.com
KHG,959,Schoenefeld,Business Services,http://www.khg-home.de
KIA MOTORS EUROPE,6956,Frankfurt,Wholesale,http://www.kia.com
KIEKERT,895,Heiligenhaus,Metals & Metal Products,http://www.kiekert.de
KIEL INDUSTRIAL RVICES,213,Noerdlingen,Business Services,http://www.kiel-industrial-services.com
KIESEL,536,Baienfurt,Wholesale,http://www.kiesel.net
KION GROUP,8836,Wiesbaden,"Transport, Freight & Storage",http://www.kiongroup.com
KIOXIA EUROPE,460,Duesseldorf,Wholesale,http://www.kioxia.com
KIRCHHOFF AUTOMOTIVE HOLDING,1659,Iserlohn,Business Services,http://www.kirchhoff-gruppe.de
MEDIUS KLINIKEN GEMEINNUETZIGE,307,Kirchheim,"Public Administration, Education, Health Social Services",http://www.kk-es.de
K+K KLAAS & KOCK B.V.,598,Gronau,Retail,http://www.klaas-und-kock.de
MICHAEL KLEBL,499,Neumarkt,Business Services,http://www.klebl.de
KLEINEWEFERS,304,Krefeld,Property Services,http://www.kleinewefers.de
KLENK HOLZ,417,Oberrot,"Wood, Furniture & Paper Manufacturing",http://www.klenk.com
ERNST KLETT,777,Stuttgart,Printing & Publishing,http://www.klett-gruppe.de
KLINGSPOR,298,Haiger,Business Services,http://www.klingspor.de
KLINIKEN FRANKFURT-MAIN-TAUNUS,344,Frankfurt,"Public Administration, Education, Health Social Services",http://www.kliniken-fmt.de
KLINIKEN DER STADT KOELN G,355,Koeln,"Public Administration, Education, Health Social Services",http://www.kliniken-koeln.de
KLINIKEN LUDWIGSBURG-BIETIGHEIM G,405,Ludwigsburg,"Public Administration, Education, Health Social Services",http://www.kliniken-lb.de
KLINIKEN NORDOBERPFALZ,236,Weiden,"Public Administration, Education, Health Social Services",http://www.kliniken-nordoberpfalz.de
KLINIKEN SUEDOSTBAYERN,307,Traunstein,"Public Administration, Education, Health Social Services",http://www.kliniken-suedostbayern.de
KATHOLISCHES KLINIKUM BOCHUM HOLDING G,330,Bochum,"Public Administration, Education, Health Social Services",http://www.klinikum-bochum.de
STAEDTISCHES KLINIKUM BRAUNSCHWEIG G,378,Braunschweig,"Public Administration, Education, Health Social Services",http://www.klinikum-braunschweig.de
KLINIKUM CHEMNITZ GEMEINNUETZIGE,504,Chemnitz,"Public Administration, Education, Health Social Services",http://www.klinikumchemnitz.de
KLINIKUM DORTMUND G,420,Dortmund,"Public Administration, Education, Health Social Services",http://www.klinikumdo.de
KLINIKUM ERNST VON BERGMANN GEMEINNUETZIGE,315,Potsdam,"Public Administration, Education, Health Social Services",http://www.klinikumevb.de
KLINIKUM FULDA G,255,Fulda,"Public Administration, Education, Health Social Services",http://www.klinikum-fulda.de
STAEDTISCHES KLINIKUM KARLSRUHE G,397,Karlsruhe,"Public Administration, Education, Health Social Services",http://www.klinikum-karlsruhe.de
KLINIKUM KASSEL,353,Kassel,"Public Administration, Education, Health Social Services",http://www.klinikum-kassel.de
HELIOS KLINIKUM KREFELD,411,Krefeld,"Public Administration, Education, Health Social Services",http://www.klinikum-krefeld.de
MUENCHEN KLINIK G,818,Muenchen,"Public Administration, Education, Health Social Services",http://www.klinikum-muenchen.de
KLINIKUM WESTMUENSTERLAND,313,Ahaus,"Public Administration, Education, Health Social Services",http://www.klinikum-westmuensterland.de
KLINIKVERBUND SUEDWEST,369,Sindelfingen,Business Services,http://www.klinikverbund-suedwest.de
KLK EMMERICH,559,Emmerich,,http://www.klkoleo.com
KLOCKNER,6333,Duisburg,Wholesale,http://www.kloeckner.de
KLOECKNER & CO DEUTSCHLAND,965,Duisburg,Wholesale,http://www.kloecknerdeutschland.de
KLOEPFER & KOENIGER,288,Garching,Property Services,http://www.kloepfer-holding.de
KLOSTERFRAU DEUTSCHLAND,382,Koeln,Business Services,http://www.klosterfrau.de
KLUEH SERVICE MANAGEMENT,612,Duesseldorf,Business Services,http://www.klueh.de
KME MANSFELD,1323,Hettstedt,Metals & Metal Products,http://www.kme-mansfeld.com
KM MAHNKE,489,Muelheim,Business Services,http://www.kmmahnke.de
ORYX STAINLESS,271,Muelheim,Wholesale,http://www.kmr.de
KRAFTWERKE MAINZ-WIESBADEN .,225,Mainz,Utilities,http://www.kmw-ag.de
CARL KNAUBER VERWALTUNGSGESELLSCHAFT MIT BESCHRAENKTER,446,Bonn,Business Services,http://www.knauber.de
KNAUF INTERFER,812,Essen,Wholesale,http://www.knauf-interfer.de
KNAUS TABBERT,740,Jandelsbrunn,Business Services,http://www.knaus.de
KNORR-BREM,7003,Munchen,Transport Manufacturing,http://www.knorr-bremse.com
KOCH GRUPPE AUTOMOBILE,190,Berlin,Wholesale,http://www.koch-automobile-ag.de
KOEGEL TRAILER,361,Burtenbach,Wholesale,http://www.koegel.com
KOEHLER HOLDING,923,Oberkirch,Business Services,http://www.koehlerpaper.com
FLUGHAFEN KOELN-BONN,352,Koeln,"Transport, Freight & Storage",http://www.koeln-bonn-airport.de
KOELNMESSE,388,Koeln,"Travel, Personal & Leisure",http://www.koelnmesse.de
KOENIG + NEURATH,179,Karben,"Wood, Furniture & Paper Manufacturing",http://www.koenig-neurath.de
KOERBER,3160,Hamburg,Business Services,http://www.koerber.de
KOESTER,910,Osnabrueck,Construction,http://www.koester-bau.de
RICHARD KOESTNER,145,Neustadt,Wholesale,http://www.koestner.de
KOETTER REINIGUNG & RVICE,469,Berlin,Business Services,http://www.koetter.de
KOHL MEDICAL,651,Perl,Business Services,http://www.kohlpharma.com
ALWIN KOLB,319,Memmingen,Business Services,http://www.kolb-wellpappe.com
KOMATSU GERMANY,672,Duesseldorf,Wholesale,http://www.komatsu-mining.de
KOMBIVERKEHR DEUTSCHE GESELLSCHAFT FUER KOMBINIERTEN GUETERVERKEHR,437,Frankfurt,"Transport, Freight & Storage",http://www.kombiverkehr.de
HANS KOMPERNASS,553,Bochum,Business Services,http://www.kompernass.com
KOMSA KOMMUNIKATION SACHN,1115,Hartmannsdorf,Wholesale,http://www.komsa.com
KONE,500,Hannover,Construction,http://www.kone.com
KONECRANES,482,Langenhagen,Business Services,http://www.konecranes.de
KONICA MINOLTA BUSINESS SOLUTIONS EUROPE,1384,Langenhagen,Wholesale,http://www.konicaminolta.de
KOSATEC COMPUTER,293,Braunschweig,Wholesale,http://www.kosatec.de
KOSTAL AUTOMOBIL ELEKTRIK,916,Luedenscheid,"Industrial, Electric & Electronic Machinery",http://www.kostal.com
KLOECKNER PENTAPLAST EUROPE,664,Heiligenroth,Wholesale,http://www.kpfilms.com
K+S,4152,Kassel,"Chemicals, Petroleum, Rubber & Plastic",http://www.k-plus-s.com
KPS,175,Unterfohring,Business Services,http://www.kps.com
VATTENFALL HEIZKRAFTWERK MOORBURG,457,Hamburg,Utilities,http://www.kraftwerk-moorburg.hamburg
KRAHN VERWALTUNGS-GESELLSCHAFT MIT BESCHRAENKTER,1362,Hamburg,Business Services,http://www.krahn.de
KRAIBURG HOLDING,595,Waldkraiburg,Business Services,http://www.kraiburg.com
KRAUSSMAFFEI TECHNOLOGIES,776,Muenchen,Business Services,http://www.krausmaffei.de
KRAV-LOGISTIC VERSICHERUNGS,910,Hamburg,"Banking, Insurance & Financial Services",http://www.kravag.de
KREISVERKEHRSGESELLSCHAFT METTMANN,4925,Mettmann,"Transport, Freight & Storage",http://www.kreis-mettmann.de
KREUZMAYR BAYERN,1139,Garching,Wholesale,http://www.kreuzmayr-bayern.de
KLINIKUM REGION HANNOVER,659,Hannover,"Public Administration, Education, Health Social Services",http://www.krh.eu
LUDWIG KROHNE & CO. KOMMANDITGESELLSCHAFT,557,Duisburg,Business Services,http://www.krohne.com
KROMBACHER BRAUEREI BERNHARD SCHADEBERG,671,Kreuztal,Food & Tobacco Manufacturing,http://www.krombacher.de
KROMBERG & SCHUBERT AUTOMOTIVE,497,Renningen,Biotechnology and Life Sciences,http://www.kromberg-schubert.com
BERNARD KRONE HOLDING,2278,Spelle,Business Services,http://www.krone.de
KRONES,4005,Neutraubling,"Industrial, Electric & Electronic Machinery",http://www.krones.de
KRONOS TITAN,770,Leverkusen,"Chemicals, Petroleum, Rubber & Plastic",http://www.kronostio2.com
ACCURIDE WHEELS EUROPE & ASIA,450,Solingen,Business Services,http://www.kronprinz.de
KROMBERG & SCHUBERT,1774,Wuppertal,"Banking, Insurance & Financial Services",http://www.kroschu-cable.de
KRUEGER & CO. KOMMANDITGESELLSCHAFT,1619,Bergisch Gladbach,Food & Tobacco Manufacturing,http://www.krueger.de
KRUELL MOTOR COMPANY,370,Hamburg,Wholesale,http://www.kruell.com
KSB,2412,Frankenthal,"Industrial, Electric & Electronic Machinery",http://www.ksb.com
KSM CASTINGS GROUP,366,Hildesheim,Metals & Metal Products,http://www.ksmcastings.com
K & S SOZIAL BAU,182,Sottrum,Business Services,http://www.ks-unternehmensgruppe.de
KUBOTA BAUMASCHINEN GESELLSCHAFT MIT BESCHRAENKTER,674,Zweibruecken,"Industrial, Electric & Electronic Machinery",http://www.kubota-baumaschinen.de
KUCHENMEISTER,336,Soest,Food & Tobacco Manufacturing,http://www.kuchenmeister.de
CARL KUEHNE KG ( & CO.),362,Hamburg,Food & Tobacco Manufacturing,http://www.kuehne.de
KN AIRLIFT GESELLSCHAFT MIT BESCHRAENKTER,379,Frankfurt,"Transport, Freight & Storage",http://www.kuehne-nagel.com
KUEHNE + NEL,3695,Bremen,"Transport, Freight & Storage",http://www.kuehne-nagel.de
KUESTER HOLDING GESELLSCHAFT MIT BESCHRAENKTER,594,Ehringshausen,Business Services,http://www.kuester.net
KUKA,3223,Augsburg,"Industrial, Electric & Electronic Machinery",http://www.kuka-ag.de
KULMBACHER BRAUEREI,241,Kulmbach,Food & Tobacco Manufacturing,http://www.kulmbacher.de
KURARAY EUROPE,901,Hattersheim,"Chemicals, Petroleum, Rubber & Plastic",http://www.kuraray.eu
KURTZ HOLDING & CO. BETEILIGUNGS KG,286,Kreuzwertheim,Business Services,http://www.kurtzersa.de
KUTTENKEULER MINERALOELHANDELS- UND TANKSTELLENBETRIEBSGESELLSCHAFT,327,Koeln,Wholesale,http://www.kuttenkeuler.de
KOELNER VERKEHRS-BETRIEBE,346,Koeln,"Transport, Freight & Storage",http://www.kvb-koeln.de
"KVVH - KARLSRUHER VERSORGUNGS-, VERKEHRS- UND HAFEN",1064,Karlsruhe,"Transport, Freight & Storage",http://www.kvvh.de
KASSELER VERKEHRS- UND VERSORGUNGS-,590,Kassel,Business Services,http://www.kvvks.de
KWA KURATORIUM WOHNEN IM ALTER GEMEINNUETZIGE,130,Muenchen,"Public Administration, Education, Health Social Services",http://www.kwa.de
KWS SAAT,1189,Einbeck,"Agriculture, Horticulture & Livestock",http://www.kws.com
STADTWERKE LEIPZIG,2481,Leipzig,Utilities,http://www.l.de/stadtwerke
LIMBACH VERWALTUNGS,755,Heidelberg,Business Services,http://www.labor-limbach.de
LACTOLAND TROCKENMILCHWERK,305,Duelmen,Food & Tobacco Manufacturing,http://www.lactoland.de
LAEPPLE,540,Heilbronn,Metals & Metal Products,http://www.laepple.de
LAFIM - LANDESAUSSCHUSS FUER INNERE MISSION - DIENSTE FUER MENSCHEN GEMEINN.,128,Potsdam,"Public Administration, Education, Health Social Services",http://www.lafim.de
FRANCA,199,Koeln,Business Services,http://www.lalinea.de
AACHENER PRINTEN UND SCHOKOLADENFABRIK HENRY LAMBERTZ,383,Aachen,Food & Tobacco Manufacturing,http://www.lambertz.de
LAMILUX HEINRICH STRUNZ HOLDING,318,Rehau,Property Services,http://www.lamilux.de
LANDBELL FUER RUECKHOL-SYSTEME,174,Mainz,Waste Management & Treatment,http://www.landbell-group.de
MASCHINENFABRIK BERNARD KRONE,615,Spelle,"Industrial, Electric & Electronic Machinery",http://www.landmaschinen.krone.de
JAGUAR LAND ROVER DEUTSCHLAND,1558,Kronberg,Wholesale,http://www.landrover.de
LANXESS,7215,Koln,"Chemicals, Petroleum, Rubber & Plastic",http://www.lanxess.de
LAPP HOLDING,1210,Stuttgart,Business Services,http://www.lappgroup.com
LASCHINGER SEAFOOD,621,Harsum,Retail,http://www.laschinger.de
LAYHER HOLDING,773,Gueglingen,Business Services,http://www.layher.com
ERWERBSGESELLSCHAFT DER S- FINANZGRUPPE,1603,Neuhardenberg,"Banking, Insurance & Financial Services",http://www.lbb.de
LANDESBANK BADEN-WUERTTEMBERG,2837,Stuttgart,"Banking, Insurance & Financial Services",http://www.lbbw.de
LBI HOLDING,314,Gummersbach,Business Services,http://www.lbiholding.com
LAUSITZ ENERGIE VERWALTUNGS,2516,Cottbus,Business Services,http://www.leag.de
LEAR CORPORATION,2366,Ginsheim-Gustavsburg,Transport Manufacturing,http://www.lear.com
AUGUST LEBER ROHSTOFFE HANDELSGESELLSCHAFT,428,Offenburg,Wholesale,http://www.leberrohstoffe.com
LEDVANCE,818,Garching,"Industrial, Electric & Electronic Machinery",http://www.ledvance.de
LEG IMMOBILIEN,1017,Dusseldorf,Property Services,http://www.leg-nrw.de
LEGO,520,Grasbrunn,Miscellaneous Manufacturing,http://www.lego.com
LEICA CAMERA,307,Wetzlar,"Industrial, Electric & Electronic Machinery",http://www.leica-camera.com
LEIFHEIT,236,Nassau,"Chemicals, Petroleum, Rubber & Plastic",http://www.leifheit.com
LEIPA GROUP,672,Schwedt,Business Services,http://www.leipa.de
LEISTRITZ,342,Nuernberg,Business Services,http://www.leistritz.de
LEKKERLAND,12657,Frechen,Business Services,http://www.lekkerland.com
LEMKEN BETEILIGUNGS-,411,Alpen,Business Services,http://www.lemken.com
LENOVO (DEUTSCHLAND),1488,Stuttgart,Wholesale,http://www.lenovo.com
LENZE,809,Aerzen,Business Services,http://www.lenze.com
SUNFLOWER MANAGEMENT,358,Berlin,"Travel, Personal & Leisure",http://www.leonardo-hotels.com
LEONHARD MOLL,261,Muenchen,,http://www.leonhard-moll.de
LEONHARD WEISS,1358,Satteldorf,Construction,http://www.leonhard-weiss.de
LEONI,4865,Nurnberg,Metals & Metal Products,http://www.leoni.com
"LEXZAU, SCHARBAU",716,Bremen,"Transport, Freight & Storage",http://www.leschaco.com
LEUCO,146,Horb,Business Services,http://www.leuco.de
LECHWERKE,1501,Augsburg,Utilities,http://www.lew.de
LEW VERTEILNETZ,1336,Augsburg,Utilities,http://www.lew-verteilnetz.de
LEYBOLD,336,Koeln,"Industrial, Electric & Electronic Machinery",http://www.leybold.com
LG ELECTRONICS DEUTSCHLAND,1295,Eschborn,"Industrial, Electric & Electronic Machinery",http://www.lg.com
LG CHEM EUROPE,553,Frankfurt,Wholesale,http://www.lgchem.com
LG DISPLAY GERMANY,1489,Eschborn,Wholesale,http://www.lgdisplay.com
LUFTHANSA-TECHNIK AERO ALZEY,527,Alzey,Business Services,http://www.lhaero.com
LICHTBLICK,644,Hamburg,Utilities,http://www.lichtblick.de
LIDL,51902,Neckarsulm,Retail,http://www.lidl.de
LIEBHERR-EMTEC,11684,Kirchdorf,Business Services,http://www.liebherr.com
LIEKEN,622,Lutherstadt Wittenberg,Business Services,http://www.lieken.de
SIGNIFY,509,Hamburg,Wholesale,http://www.lighting.philips.de
LILLY DEUTSCHLAND GESELLSCHAFT MIT BESCHRAENKTER,704,Bad Homburg,Wholesale,http://www.lilly-pharma.de
LINAMAR POWERTRAIN,309,Crimmitschau,Metals & Metal Products,http://www.linamar.com
LINDE,3157,Muenchen,"Industrial, Electric & Electronic Machinery",http://www.linde.de
LINDE HYDRAULICS,292,Aschaffenburg,"Industrial, Electric & Electronic Machinery",http://www.linde-hydraulics.com
LINDE + WIEMANN,506,Dillenburg,Business Services,http://www.linde-wiemann.com
LINDNER HOTELS,126,Duesseldorf,Business Services,http://www.lindner.de
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,774,Aachen,Food & Tobacco Manufacturing,http://www.lindt.de
LIQUI MOLY GESELLSCHAFT MIT BESCHRAENKTER,353,Ulm,"Chemicals, Petroleum, Rubber & Plastic",http://www.liqui-moly.de
LIGA,145,Zeven,Metals & Metal Products,http://www.lisega.de
LIST,228,Nordhorn,Business Services,http://www.list-ag.de
L.I.T.,302,Brake,Business Services,http://www.lit.de
LITENS GERMANY,296,Gelnhausen,Business Services,http://www.litens.de
LMT LEADING METALWORKING TECHNOLOGIES,441,Oberkochen,Business Services,http://www.lmt-tools.com
LOBBE HOLDING,295,Iserlohn,Waste Management & Treatment,http://www.lobbe.de
LOEHR & BECKER,633,Koblenz,Wholesale,http://www.loehrgruppe.de
LOESCHE GESELLSCHAFT MIT BESCHRAENKTER,308,Duesseldorf,"Industrial, Electric & Electronic Machinery",http://www.loesche.com
SAFARI HOLDING,333,Bingen,Business Services,http://www.loewenplay.de
LOGWIN AIR + OCEAN DEUTSCHLAND,363,Grossostheim,"Transport, Freight & Storage",http://www.logwin-logistics.com
LOHMANN & RAUSCHER INTERNATIONAL,670,Rengsdorf,Business Services,http://www.lohmann-rauscher.com
LOHMANN,623,Neuwied,"Industrial, Electric & Electronic Machinery",http://www.lohmann-tapes.com
L'OREAL DEUTSCHLAND,1509,Karlsruhe,Retail,http://www.loreal.de
LORENZ SNACK-WORLD HOLDING,544,Hannover,Business Services,http://www.lorenz-snackworld.de
STAATLICHE TOTO-LOTTO,1040,Stuttgart,"Travel, Personal & Leisure",http://www.lotto-bw.de
DETLEV LOUIS MOTORRAD-VERTRIEBSGESELLSCHAFT,311,Hamburg,Retail,http://www.louis.de
LOWELL HOLDING,285,Essen,Business Services,http://www.lowellgroup.de
LPKF LAR & ELECTRONICS,142,Garbsen,"Industrial, Electric & Electronic Machinery",http://www.lpkf.de
LSW ENERGIE,305,Wolfsburg,Utilities,http://www.lsw.de
LSW HOLDING,475,Wolfsburg,Utilities,http://www.lsw-holding.de
LTS LOHMANN THERAPIE-SYSTEME,251,Andernach,Biotechnology and Life Sciences,http://www.ltslohmann.de
FAHRZEUG-WERKE LUEG,851,Bochum,Wholesale,http://www.lueg.de
DEUTSCHE LUFTHANSA,37206,Koln,"Transport, Freight & Storage",http://www.lufthansagroup.com
DLH FUEL COMPANY,555,Hamburg,"Transport, Freight & Storage",http://www.lufthansa-technik.com
LUKAD HOLDING,547,Werdohl,Business Services,http://www.lukad.com
LUKOIL HAMBURG,1699,Hamburg,Wholesale,http://www.lukoil.com
LUMILEDS GERMANY,480,Aachen,"Industrial, Electric & Electronic Machinery",http://www.lumileds.com
ADOLF LUPP,338,Nidda,Construction,http://www.lupp.de
CONTAINERSHIPS - CMA CGM,459,Hamburg,"Transport, Freight & Storage",http://www.macandrews.com
MACK & SCHUEHLE,268,Owen,Wholesale,http://www.mack-schuehle.de
VERLAGSGESELLSCHAFT MADSACK,686,Hannover,Printing & Publishing,http://www.madsack.de
MAGNA PT B.V.,1469,Untergruppenbach,Metals & Metal Products,http://www.magna.com
MAGNA INTERNATIONAL STANZTECHNIK,487,Salzgitter,Business Services,http://www.magna.com/de/kontakt
MAGNET-SCHULTZ,459,Memmingen,"Industrial, Electric & Electronic Machinery",http://www.magnet-schultz.com
AUDI MUENCHEN,406,Muenchen,Wholesale,http://www.mahag.de
MAHINDRA FORGINGS EUROPE,266,Aalen,Business Services,http://www.mahindraforgings.eu
MAHLE,13606,Stuttgart,"Industrial, Electric & Electronic Machinery",http://www.mahle.com
MAINGAU ENERGIE,344,Obertshausen,Utilities,http://www.maingau-energie.de
MAINOVA,2423,Frankfurt,Utilities,http://www.mainova.de
MAIREC EDELMETALLGESELLSCHAFT,304,Alzenau,Waste Management & Treatment,http://www.mairec.com
MAKITA WERKZEUG,385,Ratingen,Wholesale,http://www.makita.de
MALTESER HILFSDIENST GEMEINNUETZIGE,443,Koeln,"Public Administration, Education, Health Social Services",http://www.malteser.de
MAN,12935,Munchen,"Industrial, Electric & Electronic Machinery",http://www.man.de
MANITOWOC CRANE GROUP GERMANY,531,Wilhelmshaven,"Industrial, Electric & Electronic Machinery",http://www.manitowoccranes.com
KOMMANDITGESELLSCHAFT ERSTE GRAU VERWALTUNGS & CO.,391,Hamburg,Property Services,http://www.mankiewicz.com
MANN + HUMMEL INTERNATIONAL,4120,Ludwigsburg,Business Services,http://www.mann-hummel.com
MANZ,271,Reutlingen,"Industrial, Electric & Electronic Machinery",http://www.manz.com
MARC CAIN HOLDING,284,Bodelshausen,Property Services,http://www.marc-cain.com
MARC O'POLO INTERNATIONAL,481,Stephanskirchen,Wholesale,http://www.marc-o-polo.com
MARIENHAUS HOLDING,945,Waldbreitbach,"Travel, Personal & Leisure",http://www.marienhaus.de
MARIENHAUS KLINIKEN,618,Waldbreitbach,"Public Administration, Education, Health Social Services",http://www.marienhaus-.de
MARITIM HOTELGESELLSCHAFT,412,Timmendorfer Strand,"Travel, Personal & Leisure",http://www.maritim.de
MARK-E,817,Hagen,Utilities,http://www.mark-e.de
W. MARKGRAF BAUUNTERNEHMUNG,449,Bayreuth,Construction,http://www.markgraf-bau.de
MARLEY SPOON,129,Berlin,"Travel, Personal & Leisure",http://www.marleyspoon.de
MARQUARDT,1012,Rietheim-Weilheim,"Industrial, Electric & Electronic Machinery",http://www.marquardt.de
MARS HOLDING,1655,Verden,Business Services,http://www.mars.com
JOSEF MARSCHALL,481,Schwaig,Wholesale,http://www.marschall-schwaig.de
MB-HOLDING,612,Vestenbergsgreuth,Business Services,http://www.martin-bauer-group.com
MARTINREA HONSEL GERMANY,341,Meschede,Metals & Metal Products,http://www.martinrea-honsel.com
MATERNA INFORMATION MMUNICATIONS,317,Dortmund,Business Services,http://www.materna.de
MATERNUS-KLINIKEN,129,Berlin,"Public Administration, Education, Health Social Services",http://www.maternus.de
MAT GERMAN HOLDINGS,295,Neunkirchen,Business Services,http://www.matholdingsinc.com
RUDOLF MATTHAEI INDUSTRIE- UND VERWALTUNGSGESELLSCHAFT M.B.H.,554,Verden,Business Services,http://www.matthaei.de
MAURER,132,Muenchen,"Industrial, Electric & Electronic Machinery",http://www.maurer.eu
MAUSER-WERKE,319,Bruehl,"Chemicals, Petroleum, Rubber & Plastic",http://www.mauserpackaging.com
MAX AUTOMATION,432,Dusseldorf,"Industrial, Electric & Electronic Machinery",http://www.maxautomation.com
MAX BOEGL STIFTUNG,1590,Sengenthal,Construction,http://www.max-boegl.de
MAXINGVEST,10983,Hamburg,Business Services,http://www.maxingvest.de
MAZDA MOTORS (DEUTSCHLAND),1439,Leverkusen,Wholesale,http://www.mazda.de
MBB,612,Berlin,"Banking, Insurance & Financial Services",http://www.mbb.com
MBDA DEUTSCHLAND,350,Schrobenhausen,Business Services,http://www.mbda-systems.com
MARQUARD & BAHLS,13798,Hamburg,Oil and Gas,http://www.mbholding.de
MBN BAU,312,Georgsmarienhuette,Construction,http://www.mbn.de
AKKA AA,315,Sindelfingen,Business Services,http://www.mbtech-group.com
RSG GROUP,357,Schluesselfeld,"Travel, Personal & Leisure",http://www.mcfit.de
MCKESSON EUROPE,21256,Stuttgart,Wholesale,http://www.mckesson.eu
MD ELEKTRONIK,348,Waldkraiburg,"Industrial, Electric & Electronic Machinery",http://www.md-elektronik.de
MITTELDEUTSCHE FLUGHAFEN,182,Flughafen Leipzig/Halle,Business Services,http://www.mdf-ag.com
MEC GLOBAL,567,Bad Soden,Business Services,http://www.mec-holding.com
MED 360O,163,Leverkusen,Business Services,http://www.med360grad.de
