external_job_id,canonical_job_id,in_head
8104894,canonical_job_106df65085bb42b2870e7a0bfa3570f5,1
8105087,canonical_job_71490d91d9fa4cb1b86cd8249d204b6c,0
8050888,canonical_job_9c19ed0f7ec5440a8db0201a5ba25cbb,0
8043854,canonical_job_7b1acbea5dfd4162acf0c129e9242dec,0
8054977,canonical_job_d391adcff96247a392aa60d7a9a174ef,0
8108866,canonical_job_52032d07751e459598d5dc3577b03cda,1
8113987,canonical_job_aab3140f6fbe4517ab7e49624c288f9b,1
8110812,canonical_job_af31b1382c4d4cb5bc90e68070de389a,1
8043584,canonical_job_2620b97eb09f4224a0ac4972112ffc5d,0
b125003e-67ad-4dcb-8a1d-c5a20bec709b,canonical_job_31659b6cd8964ac4aaad23d29806351d,0
11461d44-9c6b-45ca-b93b-983fad1b1b00,canonical_job_5e33eebbcc414d09a91da1d3a7e67877,1
a,canonical_job_53994e52758c43b3a28eb745807560fd,1
8111591,canonical_job_64e02d5c189e4e2e91b14868ee6ecd01,1
7668144,canonical_job_d4ae413adeaa401aad0fb74b3fd1d704,0
7673342,canonical_job_f2359769b9ed4f2cafadf220f5b98147,0
7672627,canonical_job_b1220a9400694b9cbef312fe7ee14a1d,1
babd387f-c042-40f7-9186-dd06eaca132c,canonical_job_26e2338f8d8c42aab9d84f59ad332783,1
2615352,canonical_job_bc9e2abb5856406599f0647ff959814e,1
2599281,canonical_job_4bf9479c6d59451385be5f0f78eeedb3,1
2574283,canonical_job_f7f24a8bd6a34659844c35ce4be2afb9,1
2573538,canonical_job_58815de073a644229b00f7c5f2a945b4,1
1912797,canonical_job_f3513266d8c04c4185421125cc9c6acc,1
1897733,canonical_job_7e21c5201c5743f29f310a9c29d41d56,1
1856469,canonical_job_ff5862da931d443d92b5b049d988b338,1
1856400,canonical_job_920b053ea84d4839a3c57ff8eed0b5a0,0
1853392,canonical_job_c0c7641c84dc42d081aecc4ca6a5942f,1
1825476,canonical_job_07a0e8d504bc4731b67726c422b00977,1
515264,canonical_job_046d170a27c941d2a73a8ee696df2815,1
workday:617d34f4e8b2cd951720291249f0624f,canonical_job_e5502c46f73747f1abaacc9291d2c57a,1
workday:e404db092339c09a33a556d557918588,canonical_job_1172cea32edb4c45b27258d32ee8d69f,1
